id;descripcion;provincia_id
812;FRANCISCO MAGNANO;2
813;LA ZANJA;2
814;BALNEARIO ORENSE;2
815;CLAROMECO;2
816;COPETONAS;2
817;LIN CALEL;2
818;MICAELA CASCALLARES;2
819;ORENSE;2
820;RETA;2
821;SAN FRANCISCO DE BELLOCQ;2
822;SAN MAYOL;2
823;TRES ARROYOS;2
824;VILLA RODRIGUEZ;2
825;EL TRIANGULO;2
826;HUESO CLAVADO;2
827;LA SORTIJA;2
828;INGENIERO THOMPSON;2
829;TRES LOMAS;2
830;PEHUELCHES;2
831;AGUSTIN MOSCONI;2
832;DEL VALLE;2
833;ERNESTINA;2
834;GOBERNADOR UGARTE;2
835;LUCAS MONTEVERDE;2
836;NORBERTO DE LA RIESTRA;2
837;PEDERNALES;2
838;SAN ENRIQUE;2
839;VALDES;2
840;25 DE MAYO;2
841;MARTIN BERRAONDO;2
842;PUEBLITOS;2
843;HUETEL;2
844;MAMAGUITA;2
845;BAUDRIX;2
846;ANDERSON;2
847;ARAUJO;2
848;SANTIAGO GARBARINI;2
849;VICENTE LOPEZ;2
850;MAR AZUL;2
851;VILLA GESELL;2
852;ARGERICH;2
853;COLONIA SAN ADOLFO;2
854;HILARIO ASCASUBI;2
855;JUAN COUSTE;2
856;MAYOR BURATOVICH;2
857;MEDANOS;2
858;PEDRO LURO;2
859;TENIENTE ORIGONE;2
860;COLONIA LA MERCED;2
861;MONTES DE OCA;2
862;LA MASCOTA;2
863;NICOLAS LEVALLE;2
864;BARRIO SAAVEDRA;2
865;COUNTRY CLUB EL CASCO;2
866;ESCALADA;2
867;LIMA;2
868;ZARATE;2
869;ATUCHA;2
870;LAS PALMAS;2
871;CHUCHUCARUANA;3
872;COLPES;3
873;EL BOLSON;3
874;EL RODEO;3
875;HUAYCAMA;3
876;LA PUERTA;3
877;LAS CHACRITAS;3
878;LAS JUNTAS;3
879;LOS CASTILLOS;3
880;LOS TALAS;3
881;LOS VARELA;3
882;SINGUIL;3
883;HUMAYA;3
884;ANCASTI;3
885;ANQUINCILA;3
886;LA CANDELARIA;3
887;LA MAJADA;3
888;TACANA;3
889;YERBA BUENA;3
890;SAN FRANCISCO;3
891;AMANA;3
892;EL SAUCE;3
893;EL MOJON;3
894;IPIZCA;3
895;EL TACO;3
896;CASA ARMADA;3
897;LA ESTANCITA;3
898;POTRERO DE LOS CORDOBA;3
899;NAVAGUIN;3
900;LOS MOGOTES;3
901;AMANAO;3
902;ANDALGALA;3
903;CHAQUIAGO;3
904;CHOYA;3
905;EL ALAMITO;3
906;EL LINDERO;3
907;EL POTRERO;3
908;LA AGUADA;3
909;EL ESPINILLO;3
910;HUACO;3
911;ACONQUIJA;3
912;EL PUCARA;3
913;AGUA DE LAS PALOMAS;3
914;ANTOFAGASTA DE LA SIERRA;3
915;ANTOFALLA;3
916;EL PEÑON;3
917;LOS NACIMIENTOS;3
918;BARRANCA LARGA;3
919;BELEN;3
920;CONDOR HUASI;3
921;CORRAL QUEMADO;3
922;EL DURAZNO;3
923;FARALLON NEGRO;3
924;HUALFIN;3
925;JACIPUNCO;3
926;LA PUNTILLA;3
927;LAS JUNTAS;3
928;LONDRES;3
929;LOS NACIMIENTOS;3
930;PUERTA DE CORRAL QUEMADO;3
931;PUERTA DE SAN JOSE;3
932;VILLA VIL;3
933;CULAMPAJA;3
934;SAN FERNANDO;3
935;ASAMPAY;3
936;CHISTIN;3
937;CORRAL BLANCO;3
938;EL EJE;3
939;EL TOLAR;3
940;LA CIENAGA DE ARRIBA;3
941;LA CIENAGA DE ABAJO;3
942;LA CIENAGA;3
943;LA ESTANCIA;3
944;LA TOMA;3
945;LAGUNA BLANCA;3
946;LAS BARRANCAS;3
947;LAS CUEVAS;3
948;QUEBRADA DE HUALFIN;3
949;BARRIO ARTAZA;3
950;MINAS DE CULAMPAJA;3
951;PAPA CHACRA;3
952;RIO DE LAS CUEVAS;3
953;POZO DE PIEDRA;3
954;LA AGUADA;3
955;LAS VALLAS;3
956;PIEDRA LARGA;3
957;AMPUJACO;3
958;ADOLFO E. CARRANZA;3
959;BALDE DE LA PUNTA;3
960;CAPAYAN;3
961;CHUMBICHA;3
962;COLONIA DEL VALLE;3
963;COLONIA NUEVA CONETA;3
964;CONCEPCION;3
965;CONETA;3
966;EL BAÑADO;3
967;HUILLAPIMA;3
968;LOS ANGELES;3
969;MIRAFLORES;3
970;SAN MARTIN;3
971;SAN PABLO;3
972;SAN PEDRO;3
973;TELARITOS;3
974;TRAMPASACHA;3
975;LAS PALMAS;3
976;EL QUEMADO;3
977;EL MILAGRO;3
978;SISI HUASI;3
979;EL PANTANILLO;3
980;SAN FERNANDO DEL VALLE DE CATAMARCA;3
981;EL ALTO;3
982;GUAYAMBA;3
983;INFANZON;3
984;LOS CORRALES;3
985;TAPSO;3
986;VILISMAN;3
987;ACHALCO;3
988;ALBIGASTA;3
989;AYAPASO;3
990;LOS MORTEROS;3
991;TINTIGASTA;3
992;LOS PEDRAZA;3
993;BELLA VISTA;3
994;LA CALERA;3
995;OYOLA;3
996;COLLAGASTA;3
997;POMANCILLO ESTE;3
998;POMANCILLO OESTE;3
999;SAN JOSE;3
1000;VILLA LAS PIRQUITAS;3
1001;SAN ANTONIO;3
1002;LA CARRERA;3
1003;CASA DE PIEDRA;3
1004;EL AYBAL;3
1005;EL BAÑADO;3
1006;EL DIVISADERO;3
1007;EL QUIMILO;3
1008;ESQUIU;3
1009;ICAÑO;3
1010;LA DORADA;3
1011;LA GUARDIA;3
1012;LAS ESQUINAS;3
1013;LAS PALMITAS;3
1014;QUIROS;3
1015;RAMBLONES;3
1016;RECREO;3
1017;SAN ANTONIO;3
1018;ANJULI;3
1019;LAS IGUANAS;3
1020;EL VALLECITO;3
1021;LA RENOVACION;3
1022;BAVIANO;3
1023;LAS TEJAS;3
